found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2018-11-14,006194,罗杰 林启姜 丁玥,2亿,鑫元核心资产股票C,鑫元基金管理有限公司,1.3039,2018-11-14,13
2014-09-15,519606,于腾达 申坤,6亿,国泰金鑫股票型证券投资基金,国泰基金管理有限公司,1.7410,2016-04-26,12
2015-11-16,002063,谢东旭,1亿,国泰沪深300指数增强C,国泰基金管理有限公司,1.2105,2019-11-01,11
2015-06-29,001421,冯雨生,1亿,南方量化成长,南方基金管理股份有限公司,1.3120,2021-11-12,15
2018-06-26,005961,黄瑞庆 林景艺,1080万,博时量化价值股票C,博时基金管理有限公司,1.3658,2018-06-26,20
2018-08-07,005894,张千洋 李湘杰,1亿,华夏优势精选股票,华夏基金管理有限公司,1.4185,2018-08-07,20
2016-05-27,001878,张金涛,31亿,嘉实沪港深精选股票,嘉实基金管理有限公司,1.8140,2016-05-27,20
2004-08-27,360001,翟云飞 赵大年,18亿,光大量化股票,光大保德信基金管理有限公司,1.2072,2021-11-20,15
2018-03-30,005569,赵菲 陈薪羽,2719万,中融智选红利股票A,中融基金管理有限公司,1.3061,2020-05-21,14
2017-05-17,004403,俞瑶 成钧,1亿,平安股息精选沪港深A,平安基金管理有限公司,1.3276,2020-06-24,12
2017-09-15,005035,杨腾 马君,3136万,银华信息科技量化股票A,银华基金管理股份有限公司,0.9922,2020-09-22,14
2015-05-18,001178,邱杰,8亿,前海开源再融资股票,前海开源基金管理有限公司,1.3890,2015-05-18,15
2015-04-15,001105,朱然,2亿,信达转型创新,信达澳亚基金管理有限公司,0.8600,2021-12-20,8
2016-09-29,519935,祝昱丰,2717万,长信创新驱动股票型证券投资基金,长信基金管理公司,1.4680,2021-02-10,8
2018-03-30,005570,赵菲 陈薪羽,2719万,中融智选红利股票C,中融基金管理有限公司,1.2820,2020-05-21,14
2017-09-15,005036,杨腾 马君,3136万,银华信息科技量化股票C,银华基金管理股份有限公司,0.9862,2020-09-22,14
2017-05-17,004404,俞瑶 成钧,1亿,平安股息精选沪港深C,平安基金管理有限公司,1.2698,2020-06-24,12
2019-03-05,006818,陈卫国,2591万,安信盈利驱动股票A,安信基金管理有限责任公司,1.2395,2021-02-10,8
2018-10-31,006195,马芳,348万,国金量化多因子,国金基金管理有限公司,1.5225,2020-09-03,6
